--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 1957, 'username': 'ashwini', 'name': 'snap-store', 'vms': 1098.0546875}"
"{'pid': 1989, 'username': 'ashwini', 'name': 'xdg-document-portal', 'vms': 527.13671875}"
"{'pid': 2107, 'username': 'ashwini', 'name': 'xdg-desktop-portal', 'vms': 532.4453125}"
"{'pid': 2111, 'username': 'ashwini', 'name': 'xdg-desktop-portal-gtk', 'vms': 493.140625}"
"{'pid': 3442, 'username': 'ashwini', 'name': 'update-notifier', 'vms': 461.9609375}"
"{'pid': 3583, 'username': 'ashwini', 'name': 'update-manager', 'vms': 486.57421875}"
"{'pid': 3889, 'username': 'root', 'name': 'irq/27-mei_me', 'vms': 0.0}"
"{'pid': 3893, 'username': 'root', 'name': 'irq/19-mmc1', 'vms': 0.0}"
"{'pid': 3894, 'username': 'root', 'name': 'irq/17-mmc0', 'vms': 0.0}"
"{'pid': 4054, 'username': 'root', 'name': 'kworker/u17:0-hci0', 'vms': 0.0}"
"{'pid': 4140, 'username': 'ashwini', 'name': 'chrome', 'vms': 17009.95703125}"
"{'pid': 4145, 'username': 'ashwini', 'name': 'cat', 'vms': 16.46484375}"
"{'pid': 4146, 'username': 'ashwini', 'name': 'cat', 'vms': 16.46484375}"
"{'pid': 4148, 'username': 'ashwini', 'name': 'chrome_crashpad_handler', 'vms': 16406.19140625}"
"{'pid': 4150, 'username': 'ashwini', 'name': 'chrome_crashpad_handler', 'vms': 16397.171875}"
"{'pid': 4156, 'username': 'ashwini', 'name': 'chrome', 'vms': 16650.91015625}"
"{'pid': 4157, 'username': 'ashwini', 'name': 'chrome', 'vms': 16650.91015625}"
"{'pid': 4158, 'username': 'ashwini', 'name': 'nacl_helper', 'vms': 16424.44921875}"
"{'pid': 4161, 'username': 'ashwini', 'name': 'chrome', 'vms': 16650.91015625}"
"{'pid': 4184, 'username': 'ashwini', 'name': 'chrome', 'vms': 16969.58984375}"
"{'pid': 4186, 'username': 'ashwini', 'name': 'chrome', 'vms': 16735.4765625}"
"{'pid': 4188, 'username': 'ashwini', 'name': 'chrome', 'vms': 16699.32421875}"
"{'pid': 4265, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.66796875}"
"{'pid': 4314, 'username': 'ashwini', 'name': 'chrome', 'vms': 24926.66015625}"
"{'pid': 4315, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.66796875}"
"{'pid': 4449, 'username': 'ashwini', 'name': 'code', 'vms': 41865.84375}"
"{'pid': 4458, 'username': 'ashwini', 'name': 'code', 'vms': 363.33203125}"
"{'pid': 4459, 'username': 'ashwini', 'name': 'code', 'vms': 363.33203125}"
"{'pid': 4501, 'username': 'ashwini', 'name': 'code', 'vms': 417.6015625}"
"{'pid': 4502, 'username': 'ashwini', 'name': 'code', 'vms': 567.90234375}"
"{'pid': 4520, 'username': 'ashwini', 'name': 'code', 'vms': 51840.984375}"
"{'pid': 4549, 'username': 'ashwini', 'name': 'chrome', 'vms': 29087.37890625}"
"{'pid': 4566, 'username': 'ashwini', 'name': 'code', 'vms': 37375.29296875}"
"{'pid': 4578, 'username': 'ashwini', 'name': 'code', 'vms': 41514.65625}"
"{'pid': 4591, 'username': 'ashwini', 'name': 'code', 'vms': 37309.59765625}"
"{'pid': 4616, 'username': 'ashwini', 'name': 'code', 'vms': 37292.953125}"
"{'pid': 4631, 'username': 'ashwini', 'name': 'bash', 'vms': 19.05859375}"
"{'pid': 4679, 'username': 'ashwini', 'name': 'code', 'vms': 41524.4921875}"
"{'pid': 4700, 'username': 'ashwini', 'name': 'code', 'vms': 37260.4375}"
"{'pid': 4722, 'username': 'ashwini', 'name': 'kwalletd5', 'vms': 413.33984375}"
"{'pid': 4732, 'username': 'ashwini', 'name': 'nautilus', 'vms': 1193.57421875}"
"{'pid': 4752, 'username': 'ashwini', 'name': 'evince', 'vms': 1469.22265625}"
"{'pid': 4762, 'username': 'ashwini', 'name': 'evinced', 'vms': 152.3984375}"
"{'pid': 5032, 'username': 'root', 'name': 'kworker/0:0-events', 'vms': 0.0}"
"{'pid': 5229, 'username': 'root', 'name': 'kworker/2:0H-radeon-crtc', 'vms': 0.0}"
"{'pid': 5408, 'username': 'ashwini', 'name': 'chrome', 'vms': 33189.953125}"
"{'pid': 5425, 'username': 'ashwini', 'name': 'chrome', 'vms': 24965.99609375}"
"{'pid': 5449, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.8046875}"
"{'pid': 5463, 'username': 'ashwini', 'name': 'chrome', 'vms': 24971.13671875}"
"{'pid': 5476, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.8203125}"
"{'pid': 5488, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.67578125}"
"{'pid': 5502, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.8046875}"
"{'pid': 5503, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.81640625}"
"{'pid': 5515, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.8203125}"
"{'pid': 5531, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.875}"
"{'pid': 5555, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80859375}"
"{'pid': 5567, 'username': 'ashwini', 'name': 'chrome', 'vms': 24944.8203125}"
"{'pid': 5576, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80859375}"
"{'pid': 5596, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80078125}"
"{'pid': 5614, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80859375}"
"{'pid': 5632, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80078125}"
"{'pid': 5648, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80078125}"
"{'pid': 5659, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.81640625}"
"{'pid': 5674, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.796875}"
"{'pid': 5686, 'username': 'ashwini', 'name': 'chrome', 'vms': 16949.1953125}"
"{'pid': 5706, 'username': 'ashwini', 'name': 'chrome', 'vms': 24970.6484375}"
